age_head,DSI,EIC,FLPDYR,f2441,f6251,MARS,XTOT,e00200,e00300,e00400,e00600,e00700,e00800,e00900,e01200,e01700,e01400,e02000,e02100,e02300,e02400,e03150,e03300,e03400,e03500,e03270,e07300,e07400,e07600,e09700,e09800,e09900,e11200,e17500,e18500,e19200,e20100,e19800,e20500,e20400,e27200,e26270,e32800,MIDR,n24,e00650,e01100,e03210,e03220,e03230,e03240,e03290,e07240,e07260,p08000,e18400,p22250,p23250,e24515,e24518,p25470,e58990,e62900,e87530,RECID,s006,p87521,age_spouse,e00200p,e00900p,e02100p,filer
30,0,0,1991,0,1,3,4,0,5700000,0,1468,4200,0,0,0,0,0,-130200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,-12151099.43,-2589909.431,0,-14378524.02,-9978509.195,-11754004.79,-341702.605,-13818547.84,-3524829.237,-10156758.05,-2315598.087,-4849601.166,-10085244.54,-15751499.92,-13419395.98,-5056588.568,-11358268.24,-5174403.863,-15303112.3,-6452043.009,-91667.144,-12101518.99,-12803087.76,0,0,0,0,0,0
20,0,0,1991,0,1,3,1,0,1177000,0,74760,0,0,0,0,0,0,-30120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28280,0,0,-8322771.118,-1773931.942,0,-9848422.777,-6834677.684,-8050785.21,-234045.7,-9464872.826,-2414295.688,-6956767.413,-1586045.196,-3321684.654,-6907784.966,-10788828.56,-9191477.848,-3463458.556,-7779729.511,-3544154.935,-10481710.05,-4419260.784,-62786.472,-8288811.501,-8769343.842,0,0,0,0,0,1
30,0,0,1991,0,1,2,3,689600,157000,0,103500,0,0,-2978000,0,0,0,-9327000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,-5425539.097,-1156410.163,0,-6420097.592,-4455464.467,-5248233.947,-152572.272,-6170064.854,-1573857.488,-4535053.656,-1033928.495,-2165376.135,-4503122.442,-7033139.602,-5991841.144,-2257797.257,-5071535.193,-2310402.496,-6832931.83,-2880876.071,-40929.932,-5403401.13,-5716655.81,0,0,689600,-2978000,0,2
40,0,0,1991,0,1,3,1,650000,1305000,0,1649,0,0,43940,0,0,0,-101000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9125,0,0,0,0,0,0,0,0,0,0,-4842139.925,-1032063.307,0,-5729755.204,-3976375.803,-4683900.102,-136166.43,-5506608.069,-1404623.217,-4047406.899,-922751.888,-1932536.85,-4018909.195,-6276877.829,-5347548.458,-2015020.083,-4526201.47,-2061968.768,-6098198.065,-2571100.271,-36528.805,-4822382.417,-5101953.343,0,0,650000,43940,0,3
50,0,0,1991,0,1,2,2,217400,591600,523,57100,3476,0,1646000,0,0,0,-1903000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4788704.367,-1020673.946,0,-5666524.346,-3932494.407,-4632210.804,-134663.762,-5445839.756,-1389122.462,-4002741.637,-912568.836,-1911210.291,-3974558.421,-6207609.185,-5288535.451,-1992783.278,-4476252.459,-2039213.86,-6030901.246,-2542726.829,-36125.69,-4769164.893,-5045650.608,0,0,217400,1646000,0,4
60,0,0,1991,0,1,3,2,459700,157000,0,248,0,0,1093,0,0,0,-3749000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4385375.705,-934707.675,0,-5189261.289,-3601280.035,-4242062.814,-123321.705,-4987163.861,-1272123.612,-3665610.692,-835707.719,-1750238.589,-3639801.208,-5684773.254,-4843108.513,-1824941.091,-4099240.062,-1867461.057,-5522948.542,-2328565.643,-33083.004,-4367481.944,-4620680.647,0,0,459700,1093,0,5
70,0,0,1991,0,0,1,2,0,218300,0,9131,0,0,-1334000,0,0,0,-723300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4309980.329,-918637.755,0,-5100045.146,-3539365.189,-4169131.338,-121201.502,-4901422.269,-1250252.684,-3602589.844,-821339.852,-1720147.691,-3577224.088,-5587038.043,-4759843.586,-1793565.873,-4028764.06,-1835354.816,-5427995.496,-2288531.882,-32514.226,-4292394.205,-4541239.801,0,0,0,-1334000,0,6
80,0,0,1991,0,1,2,2,200000,5818000,0,50370,0,0,-14590000,0,0,0,1160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,0,0,0,0,0,0,0,813000,0,0,-4012058.795,-855138.168,0,-4747511.455,-3294711.379,-3880945.799,-112823.613,-4562618.114,-1163830.666,-3353565.716,-764565.85,-1601244.819,-3329953.333,-5200841.63,-4430825.865,-1669588.069,-3750281.218,-1708488.408,-5052792.682,-2130340.225,-30266.724,-3995688.288,-4227332.77,0,0,200000,-14590000,0,7
90,0,0,1991,0,1,2,2,132000,1354000,0,0,1782,0,0,0,0,0,-17750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3881031.879,-827210.832,0,-4592465.925,-3187111.792,-3754200.807,-109138.989,-4413610.882,-1125821.965,-3244044.048,-739596.449,-1548950.927,-3221202.805,-5030991.119,-4286122.74,-1615062.204,-3627803.507,-1652692.125,-4887777.194,-2060766.99,-29278.265,-3865196.005,-4089275.378,0,0,132000,0,0,8
99,0,0,1991,0,1,2,4,0,416600,1717,206600,12180,0,0,0,0,0,-18130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23580,0,0,-3849556.14,-820502.03,0,-4555220.351,-3161263.847,-3723753.687,-108253.856,-4377815.848,-1116691.383,-3217734.373,-733598.213,-1536388.707,-3195078.376,-4990189.04,-4251361.654,-1601963.812,-3598381.486,-1639288.549,-4848136.602,-2044053.866,-29040.814,-3833848.697,-4056110.753,0,0,0,0,0,9
