,description,p23250,e07260,e03270,e17500,e03290,p25470,e19700,p60100,e07200,e01700,e00800,e09800,e19200,e01400,p87521,e11580,e09900,e24515,e00100,e24516,e21040,e03240,e02000,e62900,e07240,e05800,e03300,e00900,e08800,p22250,e03260,p87482,e60000,e62720,e20800,e02400,e05100,e03220,e26270,e00200,e07400,p08000,e19800,e01200,e20100,e62730,e59560,e20600,e03500,e62100,e11550,e07600,e00400,e87530,e15360,e58990,e00700,e27200,e11070,e02100,e03150,e09400,e00600,e62740,p04470,e18400,e20500,e00300,e03400,e03230,e18500,e24518,e20400,e02300,e00650,e07300,e20550,e11200,e01000,e01100,e32800,e03210,e02500,e19550,_eitc,c11070,_fica,c00100,c02500,c62100_everyone,c04800,c05200,c09600,c04470,c07180,c07220,_prexmp,c21040,_iitax,c04600
p23250,Sch D: Net Long Term Gain or Loss,1.0,-0.00812575880641,0.0176185171924,-0.0301552014054,0.00535861159409,0.0245007420998,0.225987139961,0.0574385327563,-0.00124210600534,-0.00241465996413,-0.000933127626059,-0.000501231490172,0.0837907279222,-0.00865017459803,-0.00789617368073,-0.00257931879215,0.000270857586113,0.188743225499,0.356899399342,0.764903083636,0.301611534711,0.0200525171916,-0.0178289533408,0.0180956446837,-0.00352589262361,0.223642077184,0.00577034546997,0.00864838018806,0.227554796961,-0.0783383548552,0.0244626810469,-0.00777715293479,0.38934958249,0.727454654394,-0.0587614116758,0.0058707972242,0.223367495822,-0.00605915324199,-0.0261397995492,0.0262453621207,0.0152867593144,0.00169721481763,0.113723865774,-0.00371820284988,0.110770626164,0.153365093189,-0.00932976773252,0.0171094206061,-0.00120851672922,0.413119991625,0.0157078654224,0.0118469970207,0.00280228358045,-0.00250326656987,-0.00286167183464,0.137366133576,-0.0144194426614,-0.00210901312583,-0.00894777263857,-0.0148572659403,0.00283991115217,0.0244655750783,0.00132273099454,0.730736790947,0.130557597592,0.086210517749,-0.000699855633983,-0.00797598063196,0.0021470950644,-0.00281856799112,0.0632856979132,0.106743213637,-0.00165642194052,-0.00489548061509,0.0209866387031,0.0163465194723,0.00199946711626,0.0136353913906,0.834779563038,-0.000222138677051,-0.00158618676688,-0.00522879801241,0.020462312312,-0.00190891424968,-0.00908867736497,-0.0108652351773,0.0317027177431,0.654763366849,0.0188419761693,0.654145206187,0.682974209519,0.685003065459,0.0568528845433,0.10332727815,,-0.00975915061353,0.01278365598,0.440086077791,0.55225412264,-0.051168587431
e07260,Residential Energy Credit New 2006,-0.00812575880641,1.0,0.0209922919148,-0.000876374724527,0.00823825982574,0.00205109514633,0.018291524828,-0.000979848262274,-0.00053607647199,0.00788469846419,-0.000349679299796,-0.000664803922924,0.0146499273806,0.00430590092456,-0.00315142034592,-0.000243263295128,0.000290665530227,0.000624281434041,0.0418913542239,0.00940185393255,0.049358977456,0.00152085469342,0.0126496700949,0.00202422563384,-0.0029918176303,0.0437156766407,0.00804509481979,-0.00183492397411,0.0397622463118,0.104772700792,0.013259489053,-0.00302345136383,0.0299749917206,0.00907329503967,0.0387966449909,0.00253889733115,0.0420949359919,0.00221488926012,0.0112193411143,0.0193912280239,0.00373632850797,0.00270742897648,0.0207340832216,0.00522949810816,0.00876328739307,0.00129233282676,-0.0115867364051,0.0118050616607,-0.000369738400054,0.0370599454124,-0.000195442854553,0.00433594967432,0.0111785678693,-0.000506464289864,-0.000462659973393,0.000389211917571,0.0313445945999,0.000317302879713,-0.00953832113515,-0.0122210769947,0.0022836860487,0.0132765532819,0.0160367109814,0.00903312910518,0.046628348187,0.0621641591139,-9.72353114508e-05,0.0267281851077,-5.91760962343e-05,-0.00133624382999,0.0608936553314,2.40350097358e-05,0.0511967682812,-0.00228292824311,0.00693567773739,0.00187690671633,0.00807112459368,0.00727150499663,0.0449850012395,3.44087835287e-06,0.00195102654077,-0.00251051111686,0.0120360516652,-0.000125395640991,-0.0117583659638,-0.00986109911914,0.0258010532417,0.0494146951122,0.010981301544,0.0486349018968,0.0477298026294,0.0471911400775,0.00112106781178,0.0444491742864,,-0.0050095170038,0.0190744869397,0.059660950295,0.059082809156,-0.0153647860021
e03270,Self-employed health insurance deduction,0.0176185171924,0.0209922919148,1.0,0.00263954441213,0.150032959482,0.0406073785974,0.0509914757374,0.0129138831719,-0.00227392931936,-2.27690598441e-06,-0.00340792573134,-0.00369360725932,0.0762509102221,0.0106057709118,-0.0155029233588,-0.0164667855456,0.0117289588015,0.0120985927692,0.14315225787,0.03759119378,0.16237553596,0.0713882607905,0.182357199042,0.0270511624361,-0.0150338248243,0.172606634073,0.306585995102,0.127296105275,0.172585291024,0.0375882355479,0.395890614666,-0.0132791562386,0.123598621029,0.037450060593,0.028764220454,-0.0219403469363,0.171865789956,-0.0221029404782,0.16789725083,0.0361172887974,0.0355324673706,0.00721984228446,0.0520109086161,-0.00598133568312,0.0187377092347,0.0112984500478,-0.0575974878498,0.0538534410452,-0.000897744733969,0.141032861255,0.00495512247928,0.01784951127,0.0331303590224,-0.00755715707791,-0.0134169450869,0.00671263435402,0.0892866885879,0.00704881881835,-0.0359707564701,0.021561930936,0.0871238067626,0.395887820595,0.0225139414762,0.0377864104399,0.103177226387,0.141610413809,0.00492977488732,0.0566698477267,0.0105800838872,-0.0102884267901,0.195957538231,0.00596789500685,0.0481078501548,-0.0353095768753,0.017690333929,0.026047062316,-0.0137854052781,0.0128436257937,0.047614484463,-0.00037359362436,0.0108269256323,-0.028202816707,0.0212173659763,-0.0123179054951,-0.0620417830223,-0.0387238827277,0.0996843955093,0.130154883449,0.0153386147248,0.12749109465,0.129076145501,0.124396864903,0.0179900185871,0.111334618258,,-0.0513156676706,0.162241176965,0.139320841207,0.152056000063,-0.125849679016
e17500,Sch A: Total medical Exp.s,-0.0301552014054,-0.000876374724527,0.00263954441213,1.0,-0.00153910128278,0.00599091501957,0.00441261091149,-0.00292141395617,-0.00151047971045,0.0400129589759,0.00836390253681,-0.00153078845481,0.00217774197106,0.0197853633501,-0.00435105705525,-0.00628754405397,-0.00132325263185,0.000612476606054,-0.00463516074522,0.000320712155852,-0.00960275267258,-0.0055070105552,-0.0058542240822,-0.00303326409325,-0.0108260839478,-0.0146335659795,-0.0071141975994,-0.0130307516685,-0.0143104374526,-0.0115272996648,-0.00664534065139,-0.00389781831505,-0.00730604046125,0.00165386932805,0.0455971047023,0.134665883637,-0.0166190114239,-0.000544226793195,-0.0074879873951,-0.0133639219746,-0.00377723354808,-0.00171890866691,0.00411061027831,0.00324697252289,-0.000288314105018,0.000844804743186,-0.0312545831065,0.0468156696625,-0.000647257936786,-0.00547296033369,0.0031876431696,-0.00285089540841,0.0360966747608,-0.00384062353037,-0.0120698589872,-0.00157417745775,-0.00199595319353,0.00199220663749,-0.0221900239335,-0.00125522456606,0.00526476017247,-0.00664556773109,0.0110570844859,0.00167340051282,0.0250774081746,-0.00231631605679,0.0015157019538,0.00631324970744,0.00578073801929,-0.00248011788245,0.0386394906256,-0.00115320477149,0.0417550067018,-0.00537793464624,0.00917454980604,-0.00367029752923,0.00759605706642,-0.00825875423055,-0.00448074167537,-0.000395903663924,-0.0110670707218,-0.00921216350639,0.144232825815,0.0029365863082,-0.0349716360044,-0.0240118688509,-0.0205761462795,-0.00549076598236,0.145211813186,-0.00786559896209,-0.00926761783191,-0.00937313889141,0.000893499079591,0.0302683515295,,-0.0182963911817,-0.0113030659417,-0.00648851065959,-0.0105395636966,-0.00404722383349
e03290,Health savings account deduction (Form 8889),0.00535861159409,0.00823825982574,0.150032959482,-0.00153910128278,1.0,0.0124578080482,0.0144852371448,0.00139436881668,-0.00161603551244,-0.0054540723202,-0.00319792607038,-0.00188167393645,0.0250233049004,0.00916971826259,-0.00390833104913,-0.00693982318929,0.00410880938814,0.0013085588172,0.0342947330706,0.0130925918429,0.035636361363,0.00937831136501,0.0341230058572,-0.000602115279606,-0.00360064287779,0.0396358961769,0.12924440841,0.0404202794821,0.0407914149348,0.00524841920124,0.107222664511,-0.00273842837727,0.0318886048338,0.0159206148614,0.00696118414223,-0.0359569560411,0.0394541768937,-0.00676486866762,0.0296688119881,0.0163560023672,0.0091366768501,0.00471902432066,0.0171123920759,-0.000796710780805,0.00342317687282,0.00111005458828,-0.0318799489388,0.018125782864,-0.000162266753149,0.0349984758854,0.0152809673001,0.00547582202239,0.0121195232655,-0.00137468862357,-0.00581732141323,0.00317030222115,0.0138501442986,0.00279744642334,-0.018969881147,-0.000921201638613,0.0496379936646,0.10722206286,0.0123678435296,0.0158358238662,0.023418435306,0.0242767577467,0.00929737102873,0.0114332658914,-0.000970548266545,0.000382425118926,0.0599511762883,-0.000713370398593,0.0105671754337,-0.0146426232732,0.0112589937673,-0.000875122186601,-0.00477903336014,0.0120262844082,0.0134805559447,0.000272150408263,0.00987267372659,-0.00844626200988,-0.018550474034,-0.00267808126531,-0.0319977793621,-0.0191494381553,0.0438323412415,0.0330903654915,-0.0206737191224,0.0318210234717,0.0335866381682,0.0312242425252,0.00223286432127,0.0257687005797,,-0.0209694124552,0.0811933456037,0.0291500298556,0.0367434543498,-0.0495254767342
p25470,Sch E: Royalty depletion,0.0245007420998,0.00205109514633,0.0406073785974,0.00599091501957,0.0124578080482,1.0,0.0868922893821,0.0267713784855,0.0105969035163,0.00732647432588,-0.00161340022909,-0.00109429002248,0.0799913012805,0.00535571191741,-0.00756750912151,-0.00536682967019,0.00543566691189,0.0396016928453,0.0476259562102,0.0466125540999,0.079242298111,0.0206415994836,0.0499761504119,0.0190112942595,-0.00834846624461,0.073930221797,0.00633311385172,-0.0190886894719,0.0720793539284,0.00516850769831,0.0208545919872,-0.00676492718158,0.0437220468986,0.0487789461488,0.0276695615992,0.0234508405676,0.071727354042,-0.00897277796935,0.0330092076566,0.0245792056397,0.0386662749387,0.0025574394953,0.0562227598887,-0.0218185899782,0.00898640454267,0.0112072251586,-0.0215739724602,0.0258271746304,-0.00204839809155,0.0580343145085,0.0318842662747,0.0368391481853,0.0421087570402,-0.00510638345486,-0.00648700434455,0.0807421866671,0.0483159133207,0.00247404253181,-0.00870798226008,-0.0124542680616,0.0197937686135,0.0208574318717,0.0342320699849,0.0488976486376,0.0938429069877,0.0559034535313,0.000952811526479,0.0555406921442,0.0155138962801,0.000989631257189,0.0843779323381,0.00144697386785,0.042884433753,-0.0114793353727,0.0302269512796,0.0151688455859,-0.00147008513545,0.0171130945636,0.0449785584637,0.000323860375178,-0.00508283650503,-0.0104280864166,0.0318629817212,-0.0043062998145,-0.0214292543509,-0.00626359043441,0.0317688678656,0.0671888351372,0.0317692231031,0.0644155029617,0.0703537531854,0.0695155024332,0.0199148554974,0.0954101154742,,-0.0190331538987,0.0259603084117,0.0842903121579,0.0759038240685,-0.0316239979043
e19700,Sch A: Total contrib. deducted,0.225987139961,0.018291524828,0.0509914757374,0.00441261091149,0.0144852371448,0.0868922893821,1.0,0.0166749578671,-0.000994810133845,0.024268797204,-0.00188711122302,-0.00109095785685,0.235036573112,0.0112716495666,-0.0118802207162,-0.00553780980654,-0.000154171926264,0.0231146903094,0.407459117589,0.427359289549,0.491700718017,0.11054001295,0.160246389369,0.0991375195206,-0.00858391831476,0.294420762114,0.0257231129828,0.0422818233598,0.288606137632,0.0607899190378,0.100211662253,-0.0113099595595,0.300631007239,0.414068480414,0.239154026414,0.0442553572747,0.281084531065,-0.00744449512445,0.134586936364,0.140988595365,0.0569452526725,0.00497941423368,0.678004642619,0.00865248077444,0.449200219824,0.0264350927403,-0.0214758383986,0.179130712494,-0.00188151587768,0.341373279585,0.0219732958219,0.030406247693,0.193367362719,-0.00493483155757,-0.00638696587411,0.195222504192,0.119287341636,0.00391298670252,-0.018728432401,-0.0118289070704,0.00310206084536,0.100213644371,0.37168993572,0.411791750745,0.664529120228,0.272220134698,0.00661067782347,0.330894035399,0.0107540276499,-0.00608749826232,0.274850394135,0.0489459484123,0.320601383441,-0.0118584262328,0.343785469563,0.0760287424135,0.0219415669638,0.024484672658,0.316830329873,-0.000233639082508,-0.00436050900405,-0.0109386206692,0.0754439663216,-0.00390556537072,-0.0207061073661,-0.0178137611453,0.149937225044,0.43693585372,0.0697986939066,0.371970548261,0.379167624055,0.379127973594,0.0404754761274,0.812430311154,,-0.0199527406832,0.0229290105423,0.555285941444,0.359907055362,-0.0739354911505
p60100,Form 6251 AMT: Net operating loss deduction,0.0574385327563,-0.000979848262274,0.0129138831719,-0.00292141395617,0.00139436881668,0.0267713784855,0.0166749578671,1.0,0.0150910831754,0.000427857029648,-0.000879653175197,-0.00048549882635,0.0125994969044,0.0129266233308,0.00229503273079,-0.00233341954687,0.0111148759752,0.218832313615,-0.257660072483,0.00843682794387,0.00411792051685,0.000937461382728,-0.0730811823384,0.0185486875139,0.00333076914765,0.000808121197551,-0.0023878245936,-0.0278378324006,-0.0011644899533,-0.0128411142893,0.0125844082618,0.0030087700453,-0.34905879979,0.0481052385471,0.00534594056418,0.00636178102592,-0.000780412316659,-0.00409684727618,-0.100846256984,-0.000335802320072,0.00160124688339,-0.000589682943321,0.0116542811467,-0.0125212812027,-0.000198811013817,0.00941269733652,-0.00822504531029,0.001792181599,-0.00107277953462,-0.0381929427148,0.0369855670686,-0.0136008683778,0.0371125147535,0.00198489138308,-0.00263228851564,0.0139137472906,0.0417750659747,-0.00333116773426,-0.000105771357564,-0.0113112945978,-0.00133099506339,0.0125839766168,0.0365082432088,0.0481350092733,0.0549841425792,-0.00125451624014,-0.000286541423357,0.0852283307447,0.00241275244858,0.00437461150933,-0.00236507725836,0.0012644165638,0.00690312029799,-0.00382360306984,0.0305154513554,0.0117502249487,-0.00264520999382,0.00251561870018,0.0806985455067,3.02694340789e-05,-0.0047097808328,-0.00387585995528,-0.00712564823542,-0.00184806015423,-0.0084597280697,-0.00672719722435,-0.000151527482363,0.0445532788065,0.00324059564352,0.207225772196,0.0626729282934,0.0627820769561,0.929390696984,0.011184921758,,0.00585364208506,0.00763388696128,0.00990491971437,0.191189455848,-0.00393443369068
e07200,Credit for Elderly or disabled - Sch R,-0.00124210600534,-0.00053607647199,-0.00227392931936,-0.00151047971045,-0.00161603551244,0.0105969035163,-0.000994810133845,0.0150910831754,1.0,-0.000182730387632,-0.000464410858816,-0.000256095657304,-0.0019809032559,-0.0010406046193,-0.00311972149965,-0.00127549042628,-0.000822137816045,-0.000350487184676,-0.00566739905385,-0.00106041817447,-0.00253242048726,-0.000841629810381,0.0011687651017,-0.000345609713476,-0.00192850280378,-0.00285631090522,-0.00174400314388,-0.000585507528196,-0.00282663752734,0.000678299375908,-0.00116970087947,-0.00300294357828,-0.00688433097837,-0.000665635487227,-0.000661887943002,-0.0059914389435,-0.0028385954448,-0.00217300220512,-0.000139869953532,-0.00257468964977,-0.000550537918125,-0.000254351427867,-0.000999755277583,-0.00139637873784,-0.000393793414366,0.00193069054521,-0.00474189881464,-0.00146180015422,-0.000565881951134,-0.00190578670304,0.0110922705874,-0.000404723181933,0.00284506203397,-0.00120485922929,-0.00138973534263,-0.000299250226937,-0.00124217548069,-0.000218600361623,-0.00421670562562,0.000302063633432,-0.00184767041317,-0.00117060926135,1.2908359862e-05,-0.000674896017322,0.00124484153925,-0.00213662597856,-0.000162706276929,0.00887424314544,-0.000322710583059,-0.001491611607,-0.00429477217982,-0.000155399136428,-0.00100781346583,0.00393164279528,-4.04918143318e-05,-0.000544147810415,-0.00141799270141,-0.00158051396416,-0.000893560901049,-0.000115275429746,-0.00255858013968,-0.00259452039405,-0.00378075213325,-0.000974832799277,-0.00453160831104,-0.00400479494867,-0.00439491845929,-0.00083237831394,-0.00405175539107,0.00163705486204,-0.000479345405388,-0.000402115509556,0.0112721230091,-0.00213015571687,,-0.00469920497294,-0.0114216855602,-0.00211513841359,0.00167249706916,-0.0101616137686
e01700,Pensions and annuities in AGI,-0.00241465996413,0.00788469846419,-2.27690598441e-06,0.0400129589759,-0.0054540723202,0.00732647432588,0.024268797204,0.000427857029648,-0.000182730387632,1.0,-0.00235877096411,-0.00236891302617,0.0163196881168,0.042479521708,-0.0194085299424,-0.00811129510504,0.208754337348,-0.000629764758346,0.0316318806653,0.0184953868218,0.0345171406331,0.0019615057463,-0.00700643676358,0.000506808879702,-0.020037379545,0.0321971034358,0.00762995282124,0.000594487126321,0.0331472905354,-0.0033452204986,0.00296506312501,-0.0181221611555,0.0224600713154,0.0181345743538,0.0204208655106,0.175289963904,0.0308664058885,0.00117180690009,-0.00984844460365,0.00941457788958,0.00125728963457,0.00110502780551,0.0213996415483,-0.00453088940745,0.0129280632351,-0.000121633693796,-0.0504279858362,0.0462080186975,0.00459361918448,0.0260141659001,0.00655037159822,0.00222307841648,0.038132705645,-0.00871862401663,0.00555472221529,0.00244198985758,0.0134439973485,0.00142361848311,-0.0442689566482,-0.00336241124371,-0.0022221628721,0.00297135577364,0.0257979687809,0.0179410234994,0.0395417439216,0.0257025479493,0.00847548317181,0.0169721074315,0.00515652196476,-0.0100415425409,0.0698109453176,0.00201081579028,0.0254823836841,-0.00780412291002,0.0247768993228,0.000201497728883,-0.00130517557733,0.0112974701232,0.00819828555454,0.00134042352759,-0.0234540180287,-0.0205183678478,0.209386171231,-0.00548284672926,-0.0487272743106,-0.0422223113493,0.00780219490645,0.0271455301837,0.211040052761,0.0253400845862,0.0267817876374,0.0250313854676,0.00529491379294,0.0359602618743,,-0.0423373638746,-0.0169231781048,0.0288061788486,0.028052860673,-0.0494864712089
