YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,1.043862,0.950283,1.104992,1.0209,1.0365,1.032649,1.049023,0.956138,1.165922,0.926962,0.923588,1.327776,1.58966,1.02827,0.7711,0.9231,0.992359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013,1.012518,1.142179,1.033784,1.014791,1.024602,1.019984,0.99505,1.050098,0.997245,1.013128,0.893658,0.819381,0.776217,1.014786,0.728829,0.896219,0.992515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014,1.029476,0.931683,0.976566,1.015927,1.023917,1.039999,1.040616,1.030349,1.075978,0.991321,0.925886,1.17606,1.387522,1.004801,0.641103,0.970506,0.99257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015,1.043858,0.508206,0.999544,1.001235,1.026485,1.024119,1.038052,1.040061,1.04481,1.057257,1.013311,1.013846,1.004308,1.017188,0.81793,0.988666,1.053858,1.023325,1.041528,1.019361,1.102667,1.007792,1.026748,1.132657,1.04693
2016,1.021978,1.071198,0.984833,1.012621,1.037807,1.006659,0.984484,1.005593,0.982695,0.983807,0.999649,0.968237,0.881651,0.991403,0.933831,1.001764,1.097065,1.011695,1.010367,0.993375,0.989722,1.002577,1.01625,0.828168,1.105413
2017,1.051182,0.87479,0.95974,1.021273,1.025035,1.040577,1.060677,1.132498,1.093477,1.160123,1.088642,1.102389,1.344721,1.00723,0.94186,1.029301,1.011911,1.030968,1.014601,0.981621,1.0,0.998715,1.063959,1.0,1.0
2018,1.047195,0.708285,1.025818,1.0245,1.019707,1.041982,1.046548,1.046577,1.025924,1.025914,1.088565,1.077556,1.097511,1.018778,0.92284,1.055712,1.103035,1.045097,1.045897,1.005738,1.0,1.002574,1.034828,1.0,1.0
2019,1.036067,1.166962,0.992197,1.017913,1.028328,1.038517,1.033194,1.033198,0.99211,0.99211,1.002451,1.028307,1.065995,1.030133,0.940635,1.044324,1.054052,1.052158,1.045866,1.000751,1.0,1.002567,1.034809,1.0,1.0
2020,1.0242,0.889865,0.958987,1.009767,1.036865,0.961687,0.970945,0.970932,0.959059,0.959084,0.961164,0.952996,0.973574,1.025146,1.034222,1.032247,0.996727,1.050763,1.046106,1.00255,1.0,1.003841,1.034974,1.0,1.0
2021,0.965795,1.058114,1.032597,1.012025,0.896902,1.025974,0.977214,0.977158,1.032522,1.032547,0.959265,0.850591,0.988422,1.02525,1.069188,0.973269,1.03007,1.047248,1.047927,1.001796,1.0,1.002551,1.034869,1.0,1.0
2022,1.026652,1.125338,1.068149,1.01834,1.010364,1.037585,1.027861,1.027862,1.068162,1.068159,0.977014,1.047503,0.987305,1.027459,1.145096,1.034525,1.030159,1.048769,1.047573,0.999851,1.0,1.002545,1.034942,1.0,1.0
2023,1.032951,1.07536,1.047906,1.021814,1.012394,1.032457,1.034324,1.03438,1.047911,1.047861,0.992551,1.059414,0.974515,1.029435,1.209196,1.040836,1.030193,1.050822,1.048715,1.000448,1.0,1.003807,1.034968,1.0,1.0
2024,1.035225,1.066533,1.065501,1.022507,1.012834,1.034421,1.039609,1.039596,1.065495,1.065483,0.999514,1.058742,0.991073,1.031486,1.10537,1.042922,1.030334,1.048426,1.051767,0.99776,1.0,1.002528,1.034951,1.0,1.0
2025,1.038893,1.056645,1.058847,1.022659,1.013088,1.03678,1.039271,1.039264,1.058895,1.058884,1.026566,1.061797,1.002662,1.03048,1.031513,1.046361,1.030635,1.046248,1.052213,1.002245,1.0,1.003783,1.034897,1.0,1.0
2026,1.04096,1.046045,1.041565,1.022157,1.013001,1.038122,1.037634,1.037612,1.041568,1.041605,1.049592,1.058461,1.011511,1.0327,1.056263,1.048531,1.030633,1.072236,1.0,0.999552,1.0,1.002513,1.034808,1.0,1.0
2027,1.041502,1.04779,1.031073,1.022374,1.013159,1.03795,1.035663,1.035709,1.031072,1.031092,1.071455,1.054005,1.019003,1.03488,1.03302,1.048791,1.030788,1.0,1.0,1.0,1.0,1.002506,1.034863,1.0,1.0
2028,1.042697,1.049305,1.020963,1.022187,1.013229,1.035014,1.035462,1.035392,1.020974,1.020957,1.099203,1.050974,1.022675,1.037933,1.032198,1.049936,1.030942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2029,1.041089,1.054253,1.015683,1.022446,1.013451,1.031052,1.035488,1.035528,1.015677,1.015637,1.099005,1.047449,1.025446,1.03772,1.038653,1.047967,1.031131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2030,1.040419,1.054653,1.019563,1.022171,1.013429,1.030018,1.035266,1.035249,1.019545,1.019584,1.098906,1.044702,1.027209,1.040242,1.027639,1.047246,1.03133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
