          count    tax_cut   perc_cut    tax_inc   perc_inc       mean  tot_change  share_of_change  pc_aftertaxinc
0          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
1          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
2          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
3          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
4          2.00       2.00     100.00       0.00       0.00    -203.30     -406.60             4.76            0.74
5          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
6          3.00       3.00     100.00       0.00       0.00    -830.01   -2,490.02            29.16            1.63
7          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
8          3.00       3.00     100.00       0.00       0.00  -1,385.10   -4,155.31            48.66            1.49
9          1.00       1.00     100.00       0.00       0.00  -1,488.05   -1,488.05            17.42            0.84
sums       9.00       9.00     100.00       0.00       0.00    -948.89   -8,539.99           100.00            1.29
