         AGI  pexempt  stdded  taxinc  tax-wo-credits  inctax  paytax  ataxinc
0          0        0       0       0               0       0       0        0
1          0        0       0       0               0       0       0        0
2          0        0       0       0               0       0       0        0
3          0        0       0       0               0       0       0        0
4          0        0       0       0               0       0       0        0
5      60000        0   31227   28773            3453    -675    9180    56085
6          0        0       0       0               0       0       0        0
7     180000        0   56209  123791           14942    8942   27540   157288
8          0        0       0       0               0       0       0        0
9     240000        0   43718  196282           27758   22308   36720   199332
10    600000        0   37473  562527          136297  132997   66067   433250
sums 1080000        0  168627  911373          182449  163571  139507   845955
