          count    tax_cut   perc_cut    tax_inc   perc_inc       mean  tot_change  share_of_change  pc_aftertaxinc
0          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
1          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
2          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
3          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
4          2.00       2.00     100.00       0.00       0.00    -693.87   -1,387.75             5.67            2.53
5          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
6          3.00       3.00     100.00       0.00       0.00  -1,604.90   -4,814.69            19.69            3.15
7          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
8          2.00       2.00     100.00       0.00       0.00  -3,741.27   -7,482.54            30.60            3.92
9          2.00       2.00     100.00       0.00       0.00  -5,385.26  -10,770.53            44.04            2.54
sums       9.00       9.00     100.00       0.00       0.00  -2,717.28  -24,455.51           100.00            2.98
