          count    tax_cut   perc_cut    tax_inc   perc_inc       mean  tot_change  share_of_change  pc_aftertaxinc
0          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
1          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
2          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
3          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
4          2.00       1.00      50.00       1.00      50.00     -58.42     -116.84             2.69            0.21
5          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
6          3.00       2.00      66.67       1.00      33.33    -538.12   -1,614.35            37.16            1.06
7          0.00       0.00       0.00       0.00       0.00       0.00        0.00            -0.00             nan
8          2.00       1.00      50.00       1.00      50.00      -9.36      -18.71             0.43            0.01
9          2.00       1.00      50.00       1.00      50.00  -1,296.95   -2,593.90            59.72            0.61
sums       9.00       5.00      55.56       4.00      44.44    -482.64   -4,343.80           100.00            0.53
