         AGI  pexempt  stdded  taxinc  tax-wo-credits  inctax  paytax  ataxinc
0          0        0       0       0               0       0       0        0
1          0        0       0       0               0       0       0        0
2          0        0       0       0               0       0       0        0
3          0        0       0       0               0       0       0        0
4      60000    12995   33584   13421            1342   -1635    9180    57045
5          0        0       0       0               0       0       0        0
6     180000    30322   60751   88928            9117    6117   27540   160113
7          0        0       0       0               0       0       0        0
8     240000    25990   47167  166843           22235   20735   36720   200905
9     600000    18875   40750  540375          116828  116828   66067   449418
sums 1080000    88182  182252  809566          149522  142045  139507   867481
