               AGI  pexempt  stdded  taxinc  tax-wo-credits  inctax  paytax  ataxinc
<$0K             0        0       0       0               0       0       0        0
=$0K             0        0       0       0               0       0       0        0
$0-10K           0        0       0       0               0       0       0        0
$10-20K          0        0       0       0               0       0       0        0
$20-30K          0        0       0       0               0       0       0        0
$30-40K      60000    12996   16794   30210            3466     488   10200    54412
$40-50K          0        0       0       0               0       0       0        0
$50-75K     180000    30325   30378  119297           16513   13513   30600   151187
$75-100K         0        0       0       0               0       0       0        0
$100-200K   240000    25993   23586  190421           32341   30841   40800   188759
$200-500K   600000    18878   20377  560745          142805  142805   72765   420092
$500-1000K       0        0       0       0               0       0       0        0
>$1000K          0        0       0       0               0       0       0        0
ALL        1080000    88192   91135  900673          195125  187648  154365   814450
