YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2021,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2022,1.014347,1.742914,1.047552,1.072290,1.040311,1.175282,1.022527,1.022546,1.047553,1.047566,1.049118,1.003358,0.592565,0.855490,0.152665,1.022138,1.030159,1.048769,1.047573,0.999851,1.000000,1.002545,1.034942,1.000000,1.000000
2023,1.050108,0.653145,1.091056,1.054020,1.004761,1.050035,1.013156,1.013121,1.091037,1.091047,1.026196,1.126711,1.052500,1.085497,0.748857,1.058072,1.030193,1.050822,1.048715,1.000448,1.000000,1.003807,1.034968,1.000000,1.000000
2024,1.046242,0.895528,1.007166,1.025500,1.014070,1.040377,1.039700,1.039630,1.007187,1.007157,1.156028,1.023049,0.932271,1.052921,1.337549,1.054081,1.030334,1.048426,1.051767,0.997760,1.000000,1.002528,1.034951,1.000000,1.000000
2025,1.040442,0.963117,1.020457,1.021980,0.958663,1.038977,1.037682,1.037745,1.020415,1.020444,1.091746,1.025380,0.977470,1.031721,1.154874,1.047914,1.030635,1.046248,1.052213,1.002245,1.000000,1.003783,1.034897,1.000000,1.000000
2026,1.039294,0.987094,1.014705,1.020740,1.014023,1.035978,1.037783,1.037762,1.014711,1.014716,1.098184,1.019802,0.970235,1.030992,1.035291,1.046856,1.030633,1.072236,1.000000,0.999552,1.000000,1.002513,1.034808,1.000000,1.000000
2027,1.037119,0.998822,1.017535,1.019460,1.013312,1.033569,1.034140,1.034138,1.017568,1.017583,1.066606,1.013266,0.993714,1.031791,1.045541,1.044372,1.030788,1.000000,1.000000,1.000000,1.000000,1.002506,1.034863,1.000000,1.000000
2028,1.036799,1.006582,1.023966,1.019420,1.013356,1.033042,1.031594,1.031580,1.023985,1.023930,1.050716,1.021542,1.009158,1.033440,1.043558,1.043967,1.030942,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2029,1.035913,1.010333,1.028149,1.019660,1.013612,1.033365,1.030869,1.030888,1.028085,1.028143,1.030130,1.032091,1.018962,1.033664,1.045739,1.042825,1.031131,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2030,1.036423,1.010180,1.024121,1.019770,1.013855,1.033210,1.030563,1.030595,1.024170,1.024128,1.036979,1.032934,1.024538,1.034401,1.043738,1.043174,1.031330,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2031,1.036362,1.010259,1.024733,1.019910,1.014016,1.032812,1.031233,1.031240,1.024699,1.024734,1.039197,1.032793,1.027842,1.036645,1.038241,1.042951,1.031510,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2032,1.036409,1.009979,1.028000,1.019990,1.014306,1.032126,1.032334,1.032295,1.028004,1.027983,1.040140,1.032610,1.029719,1.036435,1.031319,1.042807,1.031644,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2033,1.035793,1.008195,1.028130,1.020020,1.014309,1.031481,1.033961,1.033991,1.028128,1.028110,1.031669,1.032460,1.030798,1.037554,1.028443,1.042009,1.031857,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2034,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2035,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2036,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2037,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2038,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2039,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2040,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2041,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2042,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2043,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2044,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2045,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2046,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2047,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2048,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2049,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2050,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2051,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2052,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2053,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2054,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2055,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2056,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2057,1.035385,1.008203,1.029710,1.020000,1.014443,1.030912,1.033294,1.033253,1.029705,1.029722,1.027096,1.032231,1.031308,1.037480,1.029528,1.041408,1.032059,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
